N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
2|1.0|1.0|1.0|1.0|1|Subject:Jetliner_position|0.250000000|!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
3|1.0|1.0|1.0|1.0|1|Subject:Nuisance_fee|0.500000000|!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit
4|0.8|0.75|1.0|0.85714287|1|Subject:I_Look_Like_an_Engineer|0.056249999|!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny
6|0.8333333|0.8|1.0|0.88888896|1|Subject:Offences_Against_the_Person_Act|0.600000024|"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
7|0.85714287|0.8333333|1.0|0.90909094|1|Subject:Nuisance_fee|0.500000000|"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!"""
8|0.875|0.85714287|1.0|0.9230769|1|Subject:Adult_abuse|0.449999988|!!!!&#8220;@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!&#8221;
9|0.8888889|0.875|1.0|0.93333334|1|Subject:Nuisance_fee|0.250000000|""" &amp; you might not get ya bitch back &amp; thats that """
10|0.9|0.8888889|1.0|0.94117653|1|Subject:Offences_Against_the_Person_Act|0.133333340|""" @rhythmixx_ :hobbies include: fighting mariam"" bitch"
11|0.90909094|0.9|1.0|0.9473684|1|Subject:Offences_Against_the_Person_Act|0.266666681|""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh"
12|0.9166667|0.90909094|1.0|0.95238096|1|Subject:Offence_against_the_person|0.457142889|""" murda gang bitch its gang land """
13|0.9230769|0.9166667|1.0|0.95652175|1|Subject:Adult_abuse|0.600000024|""" so hoes that smoke are losers ? "" yea ... go on ig"
14|0.9285714|0.9230769|1.0|0.96000004|1|Subject:Teacher_abuse|0.250000000|""" bad bitches is the only thing that i like """
15|0.93333334|0.9285714|1.0|0.9629629|1|Subject:Bitch_tits|0.250000000|""" bitch get up off me """
16|0.9375|0.93333334|1.0|0.9655172|1|Subject:Offences_Against_the_Person_Act|0.266666681|""" bitch nigga miss me with it """
18|0.9411765|0.9375|1.0|0.9677419|1|Subject:Offences_Against_the_Person_Act|0.300000012|""" bitch who do you love """
19|0.9444444|0.9411765|1.0|0.969697|1|Subject:B|0.200000003|""" bitches get cut off everyday b """
20|0.94736844|0.9444444|1.0|0.9714286|1|Subject:Black_hat|0.204166681|""" black bottle &amp; a bad bitch """
21|0.95|0.94736844|1.0|0.972973|1|Subject:Time-out_(parenting)|0.333333343|""" broke bitch cant tell me nothing """
22|0.95238096|0.95|1.0|0.9743589|1|Subject:Stress_position|0.150000006|""" cancel that bitch like nino """
23|0.90909094|0.9047619|1.0|0.95|1|Subject:Format_shifting|0.083333336|""" cant you see these hoes wont change """
24|0.9130435|0.90909094|1.0|0.95238096|1|Subject:School_of_the_Americas_Watch|0.281250000|""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the kermit videos bout to fuck ig up"
25|0.9166667|0.9130435|1.0|0.95454544|1|Subject:Human_rights_abuses_in_Kashmir|0.370370388|""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cou2wq5l4q"
26|0.92|0.9166667|1.0|0.95652175|1|Subject:Animal_bite|0.300000012|""" her pussy lips like heaven doors "" &#128524;"
27|0.9230769|0.92|1.0|0.9583333|1|Subject:Right_to_work|0.125000000|""" hoe what its hitting for """
28|0.9259259|0.9230769|1.0|0.96000004|1|Subject:Force-feeding|0.651851952|""" i met that pussy on ocean dr . i gave that pussy a pill "" &#128524;"
29|0.9285714|0.9259259|1.0|0.96153843|1|Subject:Nuisance_fee|0.250000000|""" i need a trippy bitch who fuck on hennessy """
31|0.9310345|0.9285714|1.0|0.9629629|1|Subject:Bitch_tits|0.250000000|""" i txt my old bitch my new bitch pussy wetter """
32|0.93333334|0.9310345|1.0|0.9642857|1|Subject:Right_to_work|0.305555582|""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
34|0.9354839|0.93333334|1.0|0.9655172|1|Subject:Animal_bite|0.281481504|""" if you're toes ain't done you pussy stinks """
35|0.9375|0.9354839|1.0|0.96666664|1|Subject:Claimants_Bill_of_Rights|0.366666675|""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
37|0.93939394|0.9375|1.0|0.9677419|1|Subject:Nurse_abuse|0.500000000|""" it aint nothing to cut a bitch off """
38|0.9411765|0.93939394|1.0|0.96874994|1|Subject:Offences_Against_the_Person_Act|0.548148155|""" jus meet son now he ya mane ass bitches "" #shots"
39|0.94285715|0.9411765|1.0|0.969697|1|Subject:Offences_Against_the_Person_Act|0.300000012|""" lames crying over hoes thats tears of a clown """
41|0.9166667|0.9411765|0.969697|0.9552239|2|Subject:Animal_bite|0.133333340|""" momma said no pussy cats inside my doghouse """
42|0.9189189|0.94285715|0.9705882|0.95652175|1|Subject:Ethnic_hatred|0.233333334|""" most hated but the hoes favorite "" #2mw #sevenone # http://t.co/bmdsvmc3rc"
43|0.92105263|0.9444444|0.9714286|0.95774645|1|Subject:Fundaci?n_Mujeres_en_Igualdad|0.352000028|""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" http://t.co/bzrdl3kf7u"
44|0.9230769|0.9459459|0.9722222|0.9589041|1|Subject:Offence_against_the_person|0.300000012|""" pimps up pimps up hoes down "" future voice"
45|0.925|0.94736844|0.972973|0.96|1|Subject:Talking_shit|0.200000003|""" post a picture of that pussy get 200 likes """
46|0.9268293|0.94871795|0.9736842|0.96103895|1|Subject:Goodenough_Drug_Strategy|0.166666672|""" pussy is a powerful drug "" &#128517; #happyhumpday http://t.co/r8jsymib5b"
47|0.9285714|0.95|0.974359|0.9620253|1|Subject:Opus_Sanctorum_Angelorum|0.183333337|""" quick piece of pussy call it a drive by """
48|0.9302326|0.9512195|0.975|0.962963|1|Subject:School_of_the_Americas_Watch|0.312500000|""" running round here like some brand new pussy thats bout to get fucked """
49|0.9318182|0.95238096|0.9756098|0.9638555|1|Subject:Offence_against_the_person|0.266666681|""" these bitches even worst they'll send them guys for you """
51|0.93333334|0.95348835|0.97619045|0.9647058|1|Subject:Domestic_violence_in_same-sex_relationships|0.166666672|""" we dont trust these niggas all these bitches """
52|0.9347826|0.95454544|0.9767442|0.9655172|1|Subject:Offences_Against_the_Person_Act|0.355555594|""" yall niggas b cuffing hoes cause yall aint never have bitches """
53|0.9361702|0.95555556|0.97727275|0.96629214|1|Subject:Offences_Against_the_Person_Act|0.400000036|""" you dodge a bullet "" &#128517; &#8220;@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god &#128591;""&#8221;"
54|0.9375|0.95652175|0.9777778|0.967033|1|Subject:Offences_Against_the_Person_Act|1.148148298|""" young pill chamberlain these bitches love my music """
55|0.93877554|0.9574468|0.9782609|0.9677419|1|Subject:Grapple_Ray|0.125000000|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but........."""
56|0.94|0.9583333|0.9787234|0.968421|1|Subject:Offences_Against_the_Person_Act|0.822222233|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight"""
58|0.9411765|0.9591837|0.9791667|0.96907216|1|Subject:Grapple_Ray|0.125000000|"""&amp; he's gone always be a hoe"""
59|0.9423077|0.96|0.97959185|0.96969694|1|Subject:Offences_Against_the_Person_Act|0.266666681|"""...son of a bitch took my tic tacs."" i like this movie."
60|0.9433962|0.9607843|0.98|0.97029704|1|Subject:Offence_against_the_person|0.300000012|"""..all i wanna do is get money and fuck model bitches!"" - russell simmons"
61|0.9444444|0.96153843|0.98039216|0.97087383|1|Subject:Offence_against_the_person|0.448148131|"""@2015seniorprobs: i probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". retweet"
62|0.94545454|0.9622642|0.9807692|0.9714286|1|Subject:Poof|0.333333343|"""@a7xdemery: i'm a fucking fag they said"""
63|0.9464286|0.962963|0.9811321|0.9719626|1|Subject:Right_to_work|0.305555582|"""@arizzleindacut: females think dating a pussy is cute now? http://t.co/vxbjg26gsz"" how does doing this stuff make him a pussy?"
64|0.9298246|0.962963|0.962963|0.962963|2|Subject:Peer_abuse|0.200000003|"""@addicted2guys: -simplyaddictedtoguys http://t.co/1jl4hi8zmf"" woof woof hot scally lad"
67|0.9137931|0.962963|0.94545454|0.95412844|2|Subject:Spray-on_clothing|0.111111112|"""@allaboutmanfeet: http://t.co/3gzupfumev"" woof woof and hot soles"
68|0.89830506|0.962963|0.9285714|0.94545454|2|Subject:2_+_2_=_5|0.144444451|"""@allyhaaaaa: lemmie eat a oreo &amp; do these dishes."" one oreo? lol"
69|0.9|0.96363634|0.9298246|0.94642854|1|Subject:Offence_against_the_person|0.300000012|"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u http://t.co/pxmga68nc1"" maybe you'll get better. just http://t.co/tprevwfq0s"
71|0.8852459|0.96363634|0.9137931|0.938053|2|Subject:Banana_(slur)|0.112499997|"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao"
72|0.88709676|0.96428573|0.91525424|0.9391304|1|Subject:Stress_position|0.150000006|"""@autoworid: hennessey venom gt &#128584; http://t.co/i8egmnkaj9"" that's one sexy bitch"
73|0.8888889|0.9649123|0.9166667|0.940171|1|Subject:Adult_abuse|0.200000003|"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
74|0.890625|0.9655172|0.91803277|0.9411765|1|Subject:Nuisance_fee|0.500000000|"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit"""
75|0.8923077|0.9661017|0.91935486|0.94214875|1|Subject:Adult_abuse|0.949999988|"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/vbczp6hmt7"" @amjemiebenn"
76|0.8787879|0.9661017|0.9047619|0.93442625|2|Subject:Offences_Against_the_Person_Act|0.355555594|"""@babyanimalpics: baby monkey bathtime http://t.co/7kpwadlf0r"" awwwwe! this is soooo adorable!"
78|0.880597|0.96666664|0.90625|0.9354838|1|Subject:Right_to_work|0.250000000|"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance"
79|0.88235295|0.9672131|0.9076923|0.93650794|1|Subject:Nuisance_fee|0.250000000|"""@beenbasedb: @_kudabrazyy http://t.co/luubgl9y5u"" 0 rings 0 mvps 0 bitches lol"
81|0.884058|0.9677419|0.90909094|0.9375|1|Subject:Abuse_of_information|0.333333343|"""@bestproadvice: the facts on tattoos...tattoo http://t.co/zwnbhpdz8e"" he's a pussy with not tattooing them nipples"
