N	Acuraccy	Precision	Recall	F-Measure	HastTag		Value	Comment
1	0.6666667	0.5	1	0.6666667	domesticviolence		0	finally read trevornoahs born a crime in 2 sittingswow an incredibly well told story with thoughtful perspective on domesticviolence thanks trevor ??
2	0.75	0.5	1	0.6666667	trust		0	we had a great day with elementary principals and teachers discussing building relationships in our capturing kids hearts training  creating a climate inviting for all students and adults is a priority for our district  24strong trust
3	0.8	0.5	1	0.6666667	trust		0	whens the last time you let your mind play????goal journey trust focus inspirational motivational inspire motivation inspiration quotes motivationalquotes quote quotestoliveby love kindness happiness success positivity positivevibesonly positivevibes httpstco0wii3tr8xw
4	0.6666667	0.33333334	1	0.5	domesticviolence		0	rt wepuk domesticviolence is an epidemic in the uk and yet brutal council funding cuts have led to the dismantling of refuges amp support
5	0.5714286	0.25	1	0.4	genderbasedviolence		0	and 6 out of 10 women killed worldwide is killedmurdered by an intimate partner or family member safety at home should be our priority genderbasedviolence safehomesforwomen httpstco7ft1elnbu6
6	0.5	0.2	1	0.3333333	violence		0.04	all conservatives aretotally fed up w liberal bs consuming like a deadly cancer wtheir bullying doublestandards censorship discrimination amp violence against republicans amp wère the only thing thatll stop it theyre out of controlpotus democratsaredestroyingamerica httpstcobdoylxcr60
7	0.44444445	0.16666667	1	0.2857143	violence		0	nonviolent action does not mean or include institutionalization of structural violence
8	0.4	0.14285715	1	0.25	violence		0.03846154	????? ???? ? ????? ???? ??? ????? ??  crimerate crime rape murder violence httpstcookkxr1mfik  a veracious social reformist action agent for women safety empowerment entrepreneur youth icon motivational speaker debaterwith lots of award httpstco0wram9hk9b
9	0.45454547	0.14285715	1	0.25	happiness		0.04347826	tuesdaytruth not even if i like them to reality facts transform profound revolution unit all world live better spiritual mental physical finacial happiness joy love peace worldempowerment httpstcobxzhe62o5l
10	0.5	0.14285715	1	0.25	happiness		0	lets be weird and wonderful together bougiechristian blacklove beachlife happiness love family wesellchristiantees httpstcopz6u4xagsr
11	0.53846157	0.14285715	1	0.25	happiness		0	find happiness by embracing all of your emotions httpstcoaclpawhuuv mindful mindfulness
12	0.5714286	0.14285715	1	0.25	trust		0	we are wired to trust one another early experiences of stress uncertainty and isolation interfere with the development of trusthow open honest and reliable are you to otherstrust yourself you know more than you think you do  benjaminspock
