N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
1|1.0|1.0|1.0|1.0|2||0.0|!!! rt @mayasolovely: as a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
2|0.75|0.5|1.0|0.6666667|1||0.0|!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
3|0.6|0.33333334|1.0|0.5|1||0.0|!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit
4|0.5|0.25|1.0|0.4|1||0.0|!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny
5|0.42857143|0.2|1.0|0.3333333|1||0.0|!!!!!!!!!!!!! rt @shenikaroberts: the shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
6|0.375|0.16666667|1.0|0.2857143|1||0.0|"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
7|0.33333334|0.14285715|1.0|0.25|1||0.0|"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!"""
8|0.3|0.125|1.0|0.22222222|1||0.0|!!!!&#8220;@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!&#8221;
9|0.27272728|0.11111111|1.0|0.19999999|1||0.0|""" &amp; you might not get ya bitch back &amp; thats that """
10|0.25|0.1|1.0|0.18181819|1||0.0|""" @rhythmixx_ :hobbies include: fighting mariam"" bitch"
11|0.23076923|0.09090909|1.0|0.16666667|1||0.0|""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh"
12|0.2857143|0.16666667|1.0|0.2857143|1||0.25|""" murda gang bitch its gang land """
13|0.26666668|0.15384616|1.0|0.26666668|1||0.0|""" so hoes that smoke are losers ? "" yea ... go on ig"
14|0.25|0.14285715|1.0|0.25|1||0.0|""" bad bitches is the only thing that i like """
